	Cross section of sclerenchyma fibers in plant ground tissue	0
508	However , Denver and Aurora combined make up less than half of the Metro Denver Area 's population and Aurora has approximately half the population of Denver .	0
509	The estimated population of Metropolitan Denver was 2,998,878 in 2007 ( 15th most populous CSA ) .	0
510	Holly Ridge is a town in Onslow County , North Carolina , United States .	1
511	The 2008 estimated population was 908 .	0
512	It is part of the Jacksonville , North Carolina Metropolitan Statistical Area .	0
513	A season is a subdivision of the year , marked by changes in weather , ecology , and hours of daylight .	1
514	Seasons result from the yearly revolution of the Earth around the Sun and the tilt of the Earth 's axis relative to the plane of revolution .	1
515	In temperate and polar regions , the seasons are marked by changes in the intensity of sunlight that reaches the Earth 's surface , variations of which may cause animals to go into hibernation or to migrate , and plants to be dormant .	0
516	During May , June and July , the northern hemisphere is exposed to more direct sunlight because the hemisphere faces the sun .	0
517	The same is true of the southern hemisphere in November , December and January .	0
518	It is the tilt of the Earth that causes the Sun to be higher in the sky during the summer months which increases the solar flux .	1
519	However , due to seasonal lag , June , July and August are the hottest months in the northern hemisphere and December , January and February are the hottest months in the southern hemisphere .	0
520	In temperate and subpolar regions , generally four calendar -based seasons ( with their adjectives ) are recognized : spring ( vernal ) , summer ( estival ) , autumn ( autumnal ) and winter ( hibernal ) .	0
521	However , ecologists mostly use a six season model for temperate climate regions that includes pre-spring ( prevernal ) and late summer ( serotinal ) as distinct seasons along with the traditional four .	0
522	Hot regions have two or three seasons ; the rainy ( or wet , or monsoon ) season and the dry season , and in some tropical areas , a cool or mild season .	0
523	In some parts of the world , special `` seasons '' are loosely defined based on important events such as a hurricane season , tornado season or a wildfire season .	0
524	The six ecological seasons	0
525	The four calendar seasons , depicted in an ancient Roman mosaic from Tunisia	0
526	Color blindness or color vision deficiency is the inability or decreased ability to see color , or perceive color differences , under normal lighting conditions .	0
527	Color blindness affects a significant percentage of the population .	0
528	There is no actual blindness but there is a deficiency of color vision .	0
529	The most usual cause is a fault in the development of one or more sets of retinal cones that perceive color in light and transmit that information to the optic nerve .	0
530	This type of color blindness is usually a sex-linked condition .	0
531	The genes that produce photopigments are carried on the X chromosome ; if some of these genes are missing or damaged , color blindness will be expressed in males with a higher probability than in females because males only have one X chromosome ( in females , a functional gene on only one of the two X chromosomes is sufficient to yield the needed photopigments ) .	0
532	Color blindness can also be produced by physical or chemical damage to the eye , the optic nerve , or parts of the brain .	0
533	For example , people with achromatopsia suffer from a completely different disorder , but are nevertheless unable to see colors .	0
534	The English chemist John Dalton published the first scientific paper on this subject in 1798 , `` Extraordinary facts relating to the vision of colours '' , after the realization of his own color blindness .	0
535	Because of Dalton 's work , the general condition has been called daltonism , although in English this term is now used more narrowly for deuteranopia alone .	0
536	Color blindness is usually classified as a mild disability , however there are occasional circumstances where it can give an advantage .	0
537	Some studies conclude that color blind people are better at penetrating certain color camouflages .	0
538	Such findings may give an evolutionary reason for the high prevalence of red–green color blindness .	0
539	And there is also a study suggesting that people with some types of color blindness can distinguish colors that people with normal color vision are not able to distinguish .	0
540	John Ernst Steinbeck , Jr. ( February 27 , 1902 – December 20 , 1968 ) was an American writer .	0
541	He is widely known for the Pulitzer Prize -winning novel The Grapes of Wrath ( 1939 ) and East of Eden ( 1952 ) and the novella Of Mice and Men ( 1937 ) .	0
542	As the author of twenty-seven books , including sixteen novels , six non-fiction books , and five collections of short stories , Steinbeck received the Nobel Prize for Literature in 1962 .	1
543	Norman Eugene Walker , known as Clint Walker ( born May 30 , 1927 ) , is a retired American actor .	1
544	He is best known for his cowboy role as `` Cheyenne Bodie '' in the western television series , Cheyenne .	0
545	The history of slavery covers slave systems in historical perspective in which one human being is legally the property of another , can be bought or sold , is not allowed to escape and must work for the owner without any choice involved .	0
546	As Drescher ( 2009 ) argues , `` The most crucial and frequently utilized aspect of the condition is a communally recognized right by some individuals to possess , buy , sell , discipline , transport , liberate , or otherwise dispose of the bodies and behavior of other individuals . ''	0
547	An integral element is that children of a slave mother automatically become slaves .	0
548	It does not include historical forced labor by prisoners , labor camps , or other forms of unfree labor in which laborers are not considered property .	0
549	Slavery can be traced back to the earliest records , such as the Code of Hammurabi ( c. 1760 BC ) , which refers to it as an established institution .	0
550	Slavery is rare among hunter-gatherer populations as slavery depends on a system of social stratification .	0
551	Slavery typically also requires a shortage of labor and a surplus of land to be viable .	0
552	David P. Forsythe wrote : `` The fact remained that at the beginning of the nineteenth century an estimated three-quarters of all people alive were trapped in bondage against their will either in some form of slavery or serfdom . ''	0
553	Slavery is no longer legal anywhere in the world .	0
554	Mauritania abolished it in law in 1981 and was the last country to do so – see Abolition of slavery timeline .	0
555	However , the number of slaves today is higher than at any point in history , remaining as high as 12 million to 27 million .	0
556	Eldrick Tont `` Tiger '' Woods ( born December 30 , 1975 ) is an American professional golfer whose achievements to date rank him among the most successful golfers of all time .	0
557	Currently the World No . 1 , he has been one of the highest-paid athletes in the world for several years according to Forbes .	0
558	Woods turned professional in 1996 , and by April 1997 he had already won his first major , the 1997 Masters in a record-breaking performance .	0
559	He first reached the number one position in the world rankings in June 1997 .	0
560	Through the 2000s , Woods was the dominant force in golf , spending 264 weeks from August 1999 to September 2004 and 281 weeks from June 2005 to October 2010 as world number one .	0
561	From December 2009 to early April 2010 , Woods took leave from professional golf to focus on his marriage after he admitted infidelity .	0
562	His multiple infidelities were revealed by several different women , through many worldwide media sources .	0
563	This was followed by a loss of form , and his ranking gradually fell to a low of No . 58 in November 2011 .	0
564	He snapped a career-long winless streak of 107 weeks when he captured the Chevron World Challenge in December 2011 .	0
565	As of March 25 , 2013 , he is ranked No . 1 , after winning the 2013 Arnold Palmer Invitational .	0
566	Woods has broken numerous golf records .	0
567	He has been world number one for the most consecutive weeks and for the greatest total number of weeks of any other golfer .	0
568	He has been awarded PGA Player of the Year a record ten times , the Byron Nelson Award for lowest adjusted scoring average a record eight times , and has the record of leading the money list in nine different seasons .	0
569	He has won 14 professional major golf championships , the second highest of any player ( Jack Nicklaus leads with 18 ) , and 77 PGA Tour events , 2nd all time behind Sam Snead .	0
570	He has more career major wins and career PGA Tour wins than any other active golfer .	0
571	He is the youngest player to achieve the career Grand Slam , and the youngest and fastest to win 50 tournaments on tour .	0
572	Additionally , Woods is only the second golfer , after Jack Nicklaus , to have achieved a career Grand Slam three times .	0
573	Woods has won 17 World Golf Championships , and won at least one of those events in each of the first 11 years after they began in 1999 .	0
574	`` Boardwalk Empire '' is the pilot episode of the HBO crime drama Boardwalk Empire .	0
575	Written by series creator Terence Winter and directed by Martin Scorsese with a budget of $ 18 million , the episode introduces the character of Nucky Thompson , played by Steve Buscemi , as the corrupt treasurer of Atlantic City who is involved in gambling and bootlegging in 1920 .	0
576	The show used a large ensemble cast and a specially constructed boardwalk set to re-create the Prohibition and Jazz Era , and was based on Boardwalk Empire : The Birth , High Times and Corruption of Atlantic City by Nelson Johnson .	0
577	Filming for the pilot took place at various locations in and around New York City in June 2009 .	0
578	The episode first aired in the United States on September 19 , 2010 .	0
579	The episode opens with bootleggers being ambushed , and then moves to a Temperance rally two days earlier during which Nucky Thompson attracts the attention of a pregnant woman who later seeks assistance from Thompson for her husband , Schroeder .	0
580	In a night club the day after the rally , we are introduced to other characters , including Thompson 's brother , Eli , the town sheriff , and Jimmy Darmody , a political assistant .	0
581	Thompson makes a deal to supply alcohol to four gangsters , including Rothstein who agrees to use his own men to transport the alcohol .	0
582	Meanwhile Schroeder drunkenly tangles with Thompson , and then beats his wife who miscarries .	0
583	The next day , Darmody plots with Al Capone to rob Rothstein 's incoming whiskey shipment .	0
584	The episode returns to the ambush and we see Capone and Darmody shoot all the bootleggers and run off with the whiskey , with Darmody later giving Thompson a share of the heist .	0
585	David Hinkley of the New York Daily News awarded the episode five stars , saying `` Watching HBO 's new 'Boardwalk Empire ' is like sitting in your favorite tavern and hearing someone say , 'Drinks are on the house . '	0
586	Friends , it does n't get much better . ''	0
587	Paige Wiser of the Chicago Sun-Times called it `` ... an event not to be missed , '' and praised Buscemi in particular , calling his performance `` fascinating . ''	0
588	The episode gained a 2.0/5 ratings share among adults aged 18–49 and garnered 4.81 million viewers .	0
589	This was the highest rated premiere for a HBO series since the pilot of Deadwood in March 2004 .	0
590	Following this successful debut , HBO immediately renewed the series for a second season .	0
591	Urban runoff entering a storm drain	0
592	Stormwater is water that originates during precipitation events .	0
593	It may also be used to apply to water that originates with snowmelt that enters the stormwater system .	0
594	Stormwater that does not soak into the ground becomes surface runoff , which either flows directly into surface waterways or is channeled into storm sewers , which eventually discharge to surface waters .	0
595	Stormwater is of concern for two main issues : one related to the volume and timing of runoff water ( flood control and water supplies ) and the other related to potential contaminants that the water is carrying , i.e . water pollution .	0
596	Stormwater is also a resource and ever growing in importance as the world 's human population demand exceeds the availability of readily available water .	0
597	Techniques of stormwater harvesting with point source water management and purification can potentially make urban environments self-sustaining in terms of water .	0
598	Kristen Jaymes Stewart ( born April 9 , 1990 ) is an American actress who is best known for playing Bella Swan in The Twilight Saga .	0
599	She has also starred in films such as Panic Room ( 2002 ) , Speak ( 2004 ) , Zathura ( 2005 ) , The Messengers ( 2007 ) , Adventureland ( 2009 ) , The Runaways ( 2010 ) , Snow White and the Huntsman ( 2012 ) , and On the Road ( 2012 ) .	0
600	A medical/clinical thermometer showing the temperature of 38.7 °C	0
601	Attempts of standardized temperature measurement have been reported as early as 170 AD by Claudius Galenus .	0
602	The modern scientific field has its origins in the works by Florentine scientists in the 17th century .	0
603	Early devices to measure temperature were called thermoscopes .	0
604	The first sealed thermometer was constructed in 1641 by the Grand Duke of Toscani , Ferdinand II .	0
605	The development of today 's thermometers and temperature scales began in the early 18th century , when Gabriel Fahrenheit adapted a thermometer using mercury and a scale both developed by Ole Christensen Rømer .	0
606	Fahrenheit 's scale is still in use , alongside the Celsius scale and the Kelvin scale .	0
607	`` General MacArthur '' and `` Douglas McArthur '' redirect here .	0
608	For the Canadian politician , see Douglas Francis McArthur .	0
609	For the diplomat , see Douglas MacArthur II .	0
610	For other uses , see General MacArthur ( disambiguation ) .	0
611	General of the Army Douglas MacArthur ( 26 January 18805 April 1964 ) was an American general and field marshal of the Philippine Army who was Chief of Staff of the United States Army during the 1930s and played a prominent role in the Pacific theater during World War II .	0
612	He received the Medal of Honor for his service in the Philippines Campaign , which made him and his father Arthur MacArthur , Jr. , the first father and son to be awarded the medal .	0
613	He was one of only five men ever to rise to the rank of General of the Army in the U.S. Army , and the only man ever to become a field marshal in the Philippine Army .	0
614	Raised in a military family in the American Old West , MacArthur was valedictorian at the West Texas Military Academy , and First Captain at the United States Military Academy at West Point , where he graduated top of the class of 1903 .	0
615	During the 1914 United States occupation of Veracruz , he conducted a reconnaissance mission , for which he was nominated for the Medal of Honor .	0
616	In 1917 , he was promoted from major to colonel and became chief of staff of the 42nd ( Rainbow ) Division .	0
617	In the fighting on the Western Front during World War I , he rose to the rank of brigadier general , was again nominated for a Medal of Honor , and was awarded the Distinguished Service Cross twice and the Silver Star seven times .	0
618	From 1919 to 1922 , MacArthur served as Superintendent of the U.S. Military Academy at West Point , where he attempted a series of reforms .	0
619	His next assignment was in the Philippines , where in 1924 he was instrumental in quelling the Philippine Scout Mutiny .	0
620	In 1925 , he became the Army 's youngest major general .	0
621	He served on the court martial of Brigadier General Billy Mitchell and was president of the American Olympic Committee during the 1928 Summer Olympics in Amsterdam .	0
622	In 1930 , he became Chief of Staff of the United States Army .	0
623	As such , he was involved in the expulsion of the Bonus Army protesters from Washington , D.C. in 1932 , and the establishment and organization of the Civilian Conservation Corps .	0
624	He retired from the U.S. Army in 1937 to become Military Advisor to the Commonwealth Government of the Philippines .	0
625	MacArthur was recalled to active duty in 1941 as commander of United States Army Forces in the Far East .	0
626	A series of disasters followed , starting with the destruction of his air forces on 8 December 1941 , and the invasion of the Philippines by the Japanese .	0
627	MacArthur 's forces were soon compelled to withdraw to Bataan , where they held out until May 1942 .	0
628	In March 1942 , MacArthur , his family and his staff left nearby Corregidor Island in PT boats and escaped to Australia , where MacArthur became Supreme Commander , Southwest Pacific Area .	0
629	For his defense of the Philippines , MacArthur was awarded the Medal of Honor .	0
630	After more than two years of fighting in the Pacific , he fulfilled a promise to return to the Philippines .	0
631	He officially accepted Japan 's surrender on 2 September 1945 , and oversaw the occupation of Japan from 1945 to 1951 .	0
632	As the effective ruler of Japan , he oversaw sweeping economic , political and social changes .	0
633	He led the United Nations Command in the Korean War until he was removed from command by President Harry S. Truman on 11 April 1951 .	0
634	He later became Chairman of the Board of Remington Rand .	0
635	The Eiffel Tower ( , ) is an iron lattice tower located on the Champ de Mars in Paris , named after the engineer Gustave Eiffel , whose company designed and built the tower .	0
636	Erected in 1889 as the entrance arch to the 1889 World 's Fair , it has become both a global cultural icon of France and one of the most recognizable structures in the world .	0
637	The tower is the tallest structure in Paris and the most-visited paid monument in the world ; 7.1 million people ascended it in 2011 .	0
638	The third level observatory 's upper platform is at the highest accessible to public in the European Union and the highest in Europe as long as the platform of the Ostankino Tower , at , remains closed as a result of the fire of August 2000 .	0
639	The tower received its 250 millionth visitor in 2010 .	0
640	The tower stands tall , about the same height as an 81-storey building .	0
641	During its construction , the Eiffel Tower surpassed the Washington Monument to assume the title of the tallest man-made structure in the world , a title it held for 41 years , until the Chrysler Building in New York City was built in 1930 .	0
642	Because of the addition , in 1957 , of the antenna atop the Eiffel Tower , it is now taller than the Chrysler Building .	0
643	Not including broadcast antennas , it is the second-tallest structure in France , after the Millau Viaduct .	0
644	The tower has three levels for visitors .	0
645	Tickets can be purchased to ascend , by stairs or lift ( elevator ) , to the first and second levels .	0
646	The walk from ground level to the first level is over 300 steps , as is the walk from the first to the second level .	0
647	The third and highest level is accessible only by lift—stairs do exist but are usually closed to the public .	0
648	The first and second levels have restaurants .	0
649	The tower has become the most prominent symbol of both Paris and France , often in the establishing shot of films set in the city .	0
650	Pilgrims at the Masjid al-Haram on Hajj in 2008	0
651	The Hajj ( ' `` '' ) or haj is one of the largest annually occurring pilgrimages in the world , and one of the five pillars of Islam , a religious duty that must be carried out by every able-bodied Muslim who can afford to do so at least once in his or her lifetime .	0
652	The state of being physically and financially capable of performing the Hajj is called istita'ah and a Muslim who fulfils this condition is called a mustati .	0
653	The Hajj is a demonstration of the solidarity of the Muslim people , and their submission to God ( Allah in the Arabic language ) .	0
654	The pilgrimage occurs from the 8th to 12th Dhu al-Hijjah , the 12th and last month of the Islamic calendar .	0
655	Because the Islamic calendar is a lunar calendar , eleven days shorter than the Gregorian calendar used in the Western world , the Gregorian date of the Hajj changes from year to year .	0
656	Ihram is the name given to the special spiritual state in which Muslims live while on the pilgrimage .	0
657	The Hajj is associated with the life of Prophet Muhammad from the 7th century , but the ritual of pilgrimage to Mecca is considered by Muslims to stretch back thousands of years to the time of Abraham ( Ibrahim ) .	0
658	Pilgrims join processions of hundreds of thousands of people , who simultaneously converge on Mecca for the week of the Hajj , and perform a series of rituals : Each person walks counter-clockwise seven times around the Ka'aba , the cube-shaped building which acts as the Muslim direction of prayer , runs back and forth between the hills of Al-Safa and Al-Marwah , drinks from the Zamzam Well , goes to the plains of Mount Arafat to stand in vigil , and throws stones in a ritual .	0
659	The pilgrims then shave their heads , perform a ritual of animal sacrifice , and celebrate the four day global festival of Eid al-Adha .	0
660	ShopNBC is an American broadcast and cable home shopping network , owned and operated by ValueVision Media , which is in turn 30 % owned by GE Equity and NBC Universal .	1
661	ShopNBC headquarters is in Eden Prairie , Minnesota .	0
662	Its main competitors are HSN ( Home Shopping Network ) and QVC .	0
663	Stonehenge , an example of Neolithic architecture post and lintel construction .	0
664	Post and lintel , `` prop and lintel '' or `` trabeated '' is a simple construction method using a lintel , header , or architrave as the horizontal member over a building void supported at its ends by two vertical columns , , or .	1
665	This architectural system and building method has been commonly used for centuries to support the weight of the structure located above the openings created by windows and doors in a bearing wall .	0
666	Post and lintel is different than a beam joined between two posts , it must pass over the tops of the supports .	0
667	Post-and-beam is a general term for any kind of timber framing .	0
668	The Scarlet Letter is an 1850 romantic work of fiction in a historical setting , written by Nathaniel Hawthorne .	0
669	It is considered to be his magnum opus .	0
670	Set in 17th-century Puritan Boston , Massachusetts during the years 1642 to 1649 , it tells the story of Hester Prynne , who conceives a daughter through an adulterous affair and struggles to create a new life of repentance and dignity .	0
671	Throughout the book , Hawthorne explores themes of legalism , sin , and guilt .	0
672	Judaica ( clockwise from top ) : Shabbat candlesticks , handwashing cup , Chumash and Tanakh , Torah pointer , shofar and etrog box	0
673	Judaism ( from the Latin Iudaismus , derived from the Greek Ioudaïsmos , and ultimately from the Hebrew , Yehudah , `` Judah `` ; in Hebrew : , Yahadut , the distinctive characteristics of the Judean ethnos ) is the religion , philosophy and way of life of the Jewish people .	0
674	Judaism is a monotheistic religion , with its main inspiration being based on or found in the Hebrew Bible ( also known as the Tanakh ) which has been explored in later texts , such as the Talmud .	0
675	Judaism is considered by religious Jews to be the expression of the covenantal relationship God established with the Children of Israel .	0
676	Judaism is not a homogenous religion , and embraces a number of streams and views .	0
677	Today , Rabbinic Judaism is the most numerous stream , and holds that God revealed his laws and commandments to Moses on Mount Sinai in the form of both the Written and Oral Torah .	0
678	Historically , this assertion was challenged by various groups such as the Sadducees and Hellenistic Judaism during the Second Temple period ; the Karaites and Sabbateans during the early and later medieval period ; and among segments of the modern reform movements .	0
679	Liberal movements in modern times such as Humanistic Judaism may be nontheistic .	0
680	Today , the largest Jewish religious movements are Orthodox Judaism ( Haredi Judaism and Modern Orthodox Judaism ) , Conservative Judaism and Reform Judaism .	0
681	A major source of difference between these groups is their approach to Jewish law .	0
682	Orthodox Judaism maintains that the Torah and Jewish law are divine in origin , eternal and unalterable , and that they should be strictly followed .	0
683	Conservative and Reform Judaism are more liberal , with Conservative Judaism generally promoting a more `` traditional '' interpretation of Judaism 's requirements than Reform Judaism .	0
684	A typical Reform position is that Jewish law should be viewed as a set of general guidelines rather than as a set of restrictions and obligations whose observance is required of all Jews .	0
685	Historically , special courts enforced Jewish law ; today , these courts still exist but the practice of Judaism is mostly voluntary .	0
686	Authority on theological and legal matters is not vested in any one person or organization , but in the sacred texts and rabbis and scholars who interpret them .	0
687	Judaism claims a historical continuity spanning more than 3,000 years .	0
688	Judaism has its roots as a structured religion in the Middle East during the Bronze Age .	0
689	Of the major world religions , Judaism is considered one of the oldest monotheistic religions .	0
690	The Hebrews / Israelites were already referred to as `` Jews '' in later books of the Tanakh such as the Book of Esther , with the term Jews replacing the title `` Children of Israel '' .	0
691	Judaism 's texts , traditions and values strongly influenced later Abrahamic religions , including Christianity , Islam and the Baha'i Faith .	0
692	Many aspects of Judaism have also directly or indirectly influenced secular Western ethics and civil law .	0
693	Jews are an ethnoreligious group and include those born Jewish and converts to Judaism .	0
694	In 2010 , the world Jewish population was estimated at 13.4 million , or roughly 0.2 % of the total world population .	0
695	About 42 % of all Jews reside in Israel and about 42 % reside in the United States and Canada , with most of the remainder living in Europe .	0
696	The United States Marshals Service ( USMS ) is a U.S. federal law enforcement agency within the United States Department of Justice ( see ) .	0
697	The office of U.S . Marshal is the oldest federal law enforcement office in the United States though second to the U.S. Customs Service as the oldest federal agency ( July 1789 ) ; it was created by the Judiciary Act of 1789 .	0
698	It assumed its current name in 1969 .	0
699	The Marshals Service is part of the executive branch of government , and is the enforcement arm of the United States federal courts .	0
700	The U.S . Marshals are responsible for the protection of officers of the court , court buildings and the effective operation of the judiciary .	0
701	The service also assists with court security and prisoner transport , serves arrest warrants , and seeks fugitives .	0
702	William H. Bonney ( born William Henry McCarty , Jr. c. November 23 , 1859 – c. July 14 , 1881 ) , better known as Billy the Kid but also known as Henry Antrim , was a 19th-century American gunman who participated in the Lincoln County War and became a frontier outlaw in the American Old West .	0
703	According to legend , he killed 21 men , but it is generally believed that he killed between four and nine .	0
704	He killed his first man at 15 .	0
705	McCarty ( or Bonney , the name he used at the height of his notoriety ) was 5'8 '' ( 173 cm ) tall with blue eyes , a smooth complexion , and prominent front teeth .	0
706	He was said to be friendly and personable at times , and it 's been said that he was as lithe as a cat .	0
707	Contemporaries described him as a `` neat '' dresser who favored an `` unadorned Mexican sombrero `` .	0
708	These qualities , along with his cunning and celebrated skill with firearms , contributed to his paradoxical image as both a notorious outlaw and a folk hero .	0
709	Relatively unknown during most of his lifetime , Billy was catapulted into legend in 1881 when New Mexico 's governor , Lew Wallace , placed a price on his head .	0
710	In addition , the Las Vegas Gazette ( Las Vegas , New Mexico ) and the New York Sun carried stories about his exploits .	0
711	Other newspapers followed suit .	0
712	After his death , several biographies were written that portrayed the Kid in varying lights .	0
713	The thyroid hormones , triiodothyronine ( T3 ) and thyroxine ( T4 ) , are tyrosine -based hormones produced by the thyroid gland that are primarily responsible for regulation of metabolism .	1
714	Iodine is necessary for the production of T3 and T4 .	0
715	A deficiency of iodine leads to decreased production of T3 and T4 , enlarges the thyroid tissue and will cause the disease known as goitre .	0
716	The major form of thyroid hormone in the blood is thyroxine ( T4 ) , which has a longer half-life than T3 .	0
717	The ratio of T4 to T3 released into the blood is roughly 20 to 1 .	0
718	T4 is converted to the active T3 ( three to four times more potent than T4 ) within cells by deiodinases ( 5'-iodinase ) .	0
719	These are further processed by decarboxylation and deiodination to produce iodothyronamine ( T1a ) and thyronamine ( T0a ) .	0
720	All three isoforms of the deiodinases are selenium-containing enzymes , thus dietary selenium is essential for T3 production .	0
721	The Ku Klux Klan ( KKK ) , informally known as the Klan , is the name of three distinct past and present far-right organizations in the United States , which have advocated extremist reactionary currents such as white supremacy , white nationalism , and anti-immigration , historically expressed through terrorism .	0
722	Since the mid-20th century , the KKK has also been anti-communist .	0
723	The current manifestation is splintered into several chapters with no connections between each other ; it is classified as a hate group by the Anti-Defamation League and the Southern Poverty Law Center .	0
724	It is estimated to have between 5,000 and 8,000 members as of 2012 .	0
725	The first Klan flourished in the Southern United States in the late 1860s , then died out by the early 1870s .	0
726	Members adopted white costumes : robes , masks , and conical hats , designed to be outlandish and terrifying , and to hide their identities .	0
727	The second KKK flourished nationwide in the early and mid-1920s , and adopted the same costumes and code words as the first Klan , while introducing cross burnings .	0
728	The third KKK emerged after World War II and was associated with opposing the Civil Rights Movement and progress among minorities .	0
729	The second and third incarnations of the Ku Klux Klan made frequent reference to the USA 's `` Anglo-Saxon `` blood , harking back to 19th-century nativism and claiming descent from the original 18th-century British colonial revolutionaries .	0
730	Joe Bonamassa ( born May 8 , 1977 ) is an American blues rock guitarist and singer .	0
731	He began his career playing guitar in the band Bloodline , which also featured the offspring of Miles Davis , Robby Krieger of The Doors , and Berry Oakley of The Allman Brothers Band .	0
732	He released his first solo album A New Day Yesterday in 2000 , and has since released ten more solo studio albums , five live albums and four live DVDs , along with three albums with the band Black Country Communion , one with funk super-group Rock Candy Funk Party and one album in collaboration with vocalist Beth Hart .	0
733	He tours the world regularly , and has developed a large following in the U.S. and U.K. specifically .	0
734	His most recent album , Driving Towards The Daylight , reached # 2 on the U.K. Top 40 Albums Chart , and he completed an arena tour there in 2012 .	0
735	In 2009 he was the recipient of the Classic Rock Magazine `` Breakthrough Artist of the Year '' award , and The Guardian said of him : `` the 35-year-old from upstate New York has consolidated a reputation as the pre-eminent blues-rock guitarist of his generation '' .	0
736	Bonamassa has collaborated with numerous artists , including B.B . King , Eric Clapton , Beth Hart , Paul Rodgers , Leslie West , Jon Lord , Vince Gill , Sandi Thom and Glenn Hughes .	0
737	He also played with Hughes in Black Country Communion , along with Jason Bonham and Derek Sherinian .	0
738	Joe Bonamassa 's music contains a mix of several different genres : although it is primarily blues rock , since relocating to Santorini , Greece in 2009 to record the album Black Rock ( named after the studios in which it was created ) , his music has gained eastern influences , with the addition of instruments such as the bouzouki and clarinet ( for instance , on `` Black Lung Heartache '' from Dust Bowl and `` Athens to Athens '' from Black Rock ) .	0
739	He has also covered songs by John Hiatt and Leonard Cohen .	0
740	Education in the United States is mainly provided by the public sector , with control and funding coming from three levels : local , state , and federal , in that order .	0
741	Child education is compulsory , and there are also a large number and wide variety of higher education institutions throughout the country that one can choose to attend , both publicly and privately administered .	0
742	Public education is universally available .	0
743	School curricula , funding , teaching , employment , and other policies are set through locally elected school boards with jurisdiction over school districts with many directives from state legislatures .	0
744	School districts are usually separate from other local jurisdictions , with independent officials and budgets .	0
745	Educational standards and standardized testing decisions are usually made by state governments .	0
746	The ages for compulsory education vary by state .	0
747	It begins from ages five to eight and ends from ages fourteen to eighteen .	0
748	Compulsory education requirements can generally be satisfied by educating children in public schools , state-certified private schools , or an approved home school program .	0
749	In most public and private schools , education is divided into three levels : elementary school , middle school ( sometimes called junior high school ) , and high school ( sometimes referred to as secondary education ) .	0
750	In almost all schools at these levels , children are divided by age groups into grades , ranging from kindergarten ( followed by first grade ) for the youngest children in elementary school , up to twelfth grade , the final year of high school .	0
751	The exact age range of students in these grade levels varies slightly from area to area .	0
752	Post-secondary education , better known as `` college `` in the United States , is generally governed separately from the elementary and high school system , and is described in a separate section below .	0
753	Government supported , free public schools for all started being established after the revolution , and expanded in the 19th century , as the results of efforts of men like Horace Mann and Booker T. Washington .	0
754	By 1870 , all states had free elementary schools , albeit only in urban centers .	0
755	As the 20th century drew nearer , states started passing laws to make schooling compulsory , and by 1910 , 72 percent of children attended school .	0
756	Private schools continued to spread during this time , as well as colleges and—in the rural centers— land grant colleges .	0
757	The year of 1910 also saw the first true high schools .	0
758	During the rest of the 20th century , educational efforts centered on reducing the inequality of the schooling system .	0
759	The landmark Supreme Court case Brown v. Board of Education made the desegregation of elementary and high schools a national priority , while the Pell Grant program helped poor minorities gain access to college .	0
760	Special education was made into federal law in 1975 .	0
761	The Elementary and Secondary Education Act of 1965 made standardized testing a requirement , and in 1983 , a commission was established to evaluate their results and propose a course of action .	0
762	The resulting No Child Left Behind Act of 2001 was controversial and its goals proved to be unrealistic .	0
763	A commission established in 2006 evaluated higher education , but its recommendations have yet to be fully implemented .	0
764	What Happens in Vegas is a 2008 American romantic comedy film from 20th Century Fox starring Cameron Diaz and Ashton Kutcher .	0
765	The title is based on the marketing catchphrase , `` What happens in Vegas , stays in Vegas . ''	0
766	James Byron Dean ( February 8 , 1931 – September 30 , 1955 ) was an American actor .	0
767	He is a cultural icon of teenage disillusionment , as expressed in the title of his most celebrated film , Rebel Without a Cause ( 1955 ) , in which he starred as troubled Los Angeles teenager Jim Stark .	0
768	The other two roles that defined his stardom were as loner Cal Trask in East of Eden ( 1955 ) , and as the surly ranch hand , Jett Rink , in Giant ( 1956 ) .	0
769	Dean 's enduring fame and popularity rests on his performances in only these three films , all leading roles .	0
770	His premature death in a car crash cemented his legendary status .	1
771	Dean was the first actor to receive a posthumous Academy Award nomination for Best Actor and remains the only actor to have had two posthumous acting nominations .	0
772	In 1999 , the American Film Institute ranked Dean the 18th best male movie star on their AFI 's 100 Years ... 100 Stars list .	0
773	Captain Nemo and Professor Aronnax contemplating measuring instruments in Twenty Thousand Leagues Under the Sea	0
774	A Love Meter and Strength tester machine at a Framingham , Massachusetts rest stop .	0
775	A Measuring instrument is a device for measuring a physical quantity .	0
776	In the physical sciences , quality assurance , and engineering , measurement is the activity of obtaining and comparing physical quantities of real-world objects and events .	0
777	Established standard objects and events are used as units , and the process of measurement gives a number relating the item under study and the referenced unit of measurement .	0
778	Measuring instruments , and formal test methods which define the instrument 's use , are the means by which these relations of numbers are obtained .	0
779	All measuring instruments are subject to varying degrees of instrument error and measurement uncertainty .	0
780	Scientists , engineers and other humans use a vast range of instruments to perform their measurements .	0
781	These instruments may range from simple objects such as rulers and stopwatches to electron microscopes and particle accelerators .	0
782	Virtual instrumentation is widely used in the development of modern measuring instruments .	0
783	Double rainbow and supernumerary rainbows on the inside of the primary arc .	0
784	The shadow of the photographer 's head on the bottom marks the centre of the rainbow circle ( antisolar point ) .	0
